OBJECTID,FeatureId,Name,Sensitive,Type,Access,LastUpdate,SHAPE_Length,SHAPE_Area
627,576930,LOCH SPYNIE,OPEN,RSPB,Publicised Reserve,2021/01/15 00:00:00+00,11778.1857899947,-1457596.80392919
628,652676,ARDNAVE,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,26487.7642311078,-10819640.6235961
629,652884,HIGHAM MARSHES,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,8407.5655474258,-1829094.83677502
630,681913,FRANCHISES LODGE,OPEN,RSPB,Non-Publicised Reserve,2020/11/20 00:00:00+00,14625.0547453821,-4261297.65093285
631,686112,COPYTHORNE COMMON,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,2400.1219725209,-138693.926272874
632,699772,SHERWOOD FOREST,OPEN,RSPB,Publicised Reserve,2021/11/19 00:00:00+00,8908.85912874755,-1990784.28839082
633,752415,SUDDERN HILL,OPEN,RSPB,Non-Publicised Reserve,2020/04/02 00:00:00+00,4325.6125979504,-501586.339557854
634,787508,ST AIDAN'S,OPEN,RSPB,Publicised Reserve,2020/09/11 00:00:00+00,9739.89306914214,-3546681.9533598
635,787511,ASHILL,OPEN,RSPB,Non-Publicised Reserve,2020/12/04 00:00:00+00,8448.00690042174,-485902.115007272
636,793911,LOCH DRUIDIBEG,OPEN,RSPB,Non-Publicised Reserve,2021/01/07 00:00:00+00,17727.1873842901,-11424124.8590573
637,844962,NESS,OPEN,RSPB,Non-Publicised Reserve,2021/08/19 00:00:00+00,9296.14351832892,-289071.051794615
638,986249,PORTNAHAVEN,OPEN,RSPB,Non-Publicised Reserve,2021/11/24 00:00:00+00,1990.43773724166,-51446.2525976322
